Host Id,Host Since,Neighbourhood,Zipcode,Property Type,Room Type,Beds,Price,Number of Records,Number Of Reviews,Review Scores Rating
1039,2008-07-25,Brooklyn,11222.0,Apartment,Entire home/apt,1.0,149,1,4,100.0
1783,2008-08-12,Manhattan,10004.0,Apartment,Entire home/apt,1.0,250,1,9,100.0
2078,2008-08-15,Brooklyn,11201.0,Apartment,Private room,1.0,90,1,80,94.0
2339,2008-08-20,Manhattan,10009.0,Apartment,Entire home/apt,2.0,270,1,95,90.0
2571,2008-08-27,Brooklyn,11221.0,Apartment,Entire home/apt,2.0,170,1,14,98.0
2758,2008-09-06,Manhattan,10026.0,Apartment,Private room,2.0,59,1,120,93.0
2845,2008-09-09,Manhattan,10018.0,Apartment,Entire home/apt,1.0,285,1,17,97.0
2881,2008-09-10,Brooklyn,11216.0,Apartment,Private room,1.0,75,1,32,95.0
2965,2008-09-14,Manhattan,10025.0,Apartment,Private room,1.0,145,1,52,99.0
3211,2008-09-25,Queens,11106.0,Apartment,Private room,1.0,100,1,3,93.0
3227,2008-09-26,Manhattan,10001.0,Apartment,Entire home/apt,3.0,150,1,171,85.0
3563,2008-10-10,Brooklyn,11220.0,Apartment,Private room,1.0,40,1,1,100.0
3647,2008-10-14,Queens,11373.0,Apartment,Entire home/apt,1.0,89,1,4,93.0
4177,2008-11-09,Brooklyn,11206.0,Apartment,Private room,1.0,125,1,16,94.0
4267,2008-11-12,Manhattan,10024.0,Apartment,Entire home/apt,2.0,170,1,28,88.0
4396,2008-11-19,Manhattan,10009.0,Apartment,Private room,1.0,79,1,23,89.0
4488,2008-11-21,Manhattan,10027.0,Apartment,Entire home/apt,3.0,125,1,6,97.0
4732,2008-12-01,Brooklyn,11217.0,Apartment,Entire home/apt,1.0,110,1,5,92.0
4869,2008-12-07,Brooklyn,11238.0,Other,Private room,3.0,89,1,14,85.0
5871,2008-12-31,Brooklyn,11213.0,Apartment,Entire home/apt,3.0,180,1,12,93.0
5926,2009-01-02,Manhattan,10027.0,Apartment,Private room,1.0,85,1,13,91.0
5940,2009-01-02,Queens,11368.0,Apartment,Entire home/apt,2.0,135,1,47,86.0
6041,2009-01-05,Queens,11105.0,Apartment,Private room,1.0,44,1,4,100.0
7118,2009-01-26,Manhattan,10036.0,Apartment,Entire home/apt,1.0,200,1,14,87.0
7209,2009-01-29,Manhattan,10016.0,Apartment,Entire home/apt,1.0,250,1,9,100.0
7222,2009-01-29,Manhattan,10003.0,Apartment,Entire home/apt,2.0,175,1,42,95.0
7230,2009-01-30,Manhattan,10128.0,Apartment,Entire home/apt,2.0,165,1,7,96.0
7299,2009-02-02,Manhattan,10005.0,Apartment,Entire home/apt,1.0,145,1,16,95.0
7322,2009-02-02,Manhattan,10016.0,Apartment,Entire home/apt,1.0,200,1,47,86.0
7323,2009-02-02,Brooklyn,11238.0,Apartment,Entire home/apt,1.0,115,1,13,88.0
7351,2009-02-02,Brooklyn,11215.0,Loft,Private room,2.0,74,1,3,80.0
7356,2009-02-03,Brooklyn,11216.0,Apartment,Private room,1.0,50,1,52,93.0
7386,2009-02-03,Manhattan,10016.0,Apartment,Entire home/apt,1.0,129,1,42,92.0
7414,2009-02-04,Brooklyn,11217.0,Apartment,Entire home/apt,3.0,185,1,21,85.0
7498,2009-02-06,Manhattan,10002.0,Apartment,Entire home/apt,1.0,80,1,1,80.0
7510,2009-02-06,Manhattan,10011.0,Apartment,Entire home/apt,2.0,190,1,29,93.0
7549,2009-02-07,Manhattan,10002.0,Apartment,Shared room,1.0,45,1,17,95.0
7611,2009-02-09,Brooklyn,11211.0,Apartment,Entire home/apt,1.0,135,1,51,95.0
7612,2009-02-09,Manhattan,10023.0,Apartment,Entire home/apt,1.0,145,1,29,91.0
7626,2009-02-09,Manhattan,10002.0,Apartment,Entire home/apt,1.0,100,1,156,86.0
7702,2009-02-10,Manhattan,10025.0,Apartment,Entire home/apt,1.0,135,1,30,94.0
7740,2009-02-11,Manhattan,10024.0,Apartment,Entire home/apt,1.0,200,1,98,94.0
7949,2009-02-15,Brooklyn,11238.0,Apartment,Private room,1.0,65,1,4,100.0
7987,2009-02-16,Manhattan,10025.0,Apartment,Entire home/apt,1.0,145,1,24,94.0
7989,2009-02-16,Manhattan,10036.0,Apartment,Private room,1.0,135,1,74,97.0
7999,2009-02-16,Brooklyn,11222.0,Apartment,Entire home/apt,1.0,165,1,1,100.0
8057,2009-02-17,Manhattan,10009.0,Loft,Entire home/apt,2.0,600,1,5,100.0
8178,2009-02-19,Brooklyn,11215.0,Apartment,Entire home/apt,1.0,145,1,188,90.0
8198,2009-02-19,Brooklyn,11217.0,Apartment,Entire home/apt,1.0,150,1,39,93.0
8380,2009-02-22,Manhattan,10014.0,Apartment,Entire home/apt,1.0,200,1,57,98.0
8425,2009-02-23,Manhattan,10014.0,Apartment,Entire home/apt,1.0,175,1,1,100.0
8440,2009-02-23,Brooklyn,11218.0,Apartment,Entire home/apt,1.0,150,1,4,95.0
8605,2009-02-25,Manhattan,10035.0,Apartment,Entire home/apt,2.0,109,1,11,91.0
8703,2009-02-27,Manhattan,10027.0,Apartment,Shared room,1.0,80,1,3,100.0
8730,2009-02-27,Manhattan,10003.0,Condominium,Entire home/apt,6.0,1990,1,4,100.0
8967,2009-03-03,Manhattan,10019.0,Apartment,Private room,1.0,73,1,242,85.0
9744,2009-03-10,Brooklyn,11215.0,House,Private room,2.0,89,1,95,96.0
10176,2009-03-14,Brooklyn,11211.0,Apartment,Entire home/apt,2.0,250,1,60,96.0
10889,2009-03-21,Brooklyn,11249.0,Apartment,Entire home/apt,2.0,250,1,132,93.0
11037,2009-03-22,Brooklyn,11217.0,Apartment,Entire home/apt,2.0,240,1,2,100.0
11481,2009-03-26,Brooklyn,11220.0,Apartment,Entire home/apt,1.0,105,1,21,88.0
12169,2009-04-03,Brooklyn,11211.0,Apartment,Private room,1.0,89,1,43,94.0
12220,2009-04-04,Manhattan,10025.0,Apartment,Private room,1.0,132,1,74,88.0
12221,2009-04-04,Bronx,10451.0,Apartment,Private room,3.0,42,1,105,81.0
12712,2009-04-08,Manhattan,10009.0,Apartment,Entire home/apt,3.0,200,1,63,87.0
12869,2009-04-10,Manhattan,10009.0,Apartment,Entire home/apt,1.0,250,1,13,92.0
13070,2009-04-12,Manhattan,10128.0,Bed & Breakfast,Entire home/apt,2.0,295,1,58,83.0
13424,2009-04-14,Manhattan,10019.0,Apartment,Entire home/apt,1.0,280,1,7,100.0
13908,2009-04-18,Manhattan,10025.0,Apartment,Entire home/apt,3.0,150,1,12,66.0
14063,2009-04-19,Brooklyn,11201.0,Apartment,Entire home/apt,3.0,125,1,4,100.0
14204,2009-04-20,Brooklyn,11231.0,Apartment,Entire home/apt,2.0,230,1,18,100.0
15154,2009-04-28,Manhattan,10023.0,Apartment,Entire home/apt,1.0,160,1,2,80.0
15167,2009-04-28,Manhattan,10031.0,Apartment,Entire home/apt,3.0,107,1,13,98.0
15192,2009-04-28,Brooklyn,11216.0,Apartment,Entire home/apt,3.0,159,1,8,84.0
15261,2009-04-29,Brooklyn,11205.0,Apartment,Private room,1.0,50,1,1,80.0
15742,2009-05-04,Manhattan,10031.0,Apartment,Entire home/apt,1.0,110,1,20,83.0
16800,2009-05-12,Manhattan,10029.0,Apartment,Private room,2.0,95,1,150,96.0
16851,2009-05-12,Brooklyn,11211.0,Apartment,Entire home/apt,1.0,125,1,8,93.0
16883,2009-05-13,Manhattan,10024.0,Loft,Entire home/apt,2.0,135,1,4,91.0
17296,2009-05-15,Manhattan,10016.0,Apartment,Entire home/apt,1.0,100,1,5,96.0
17571,2009-05-17,Brooklyn,11205.0,House,Entire home/apt,2.0,200,1,80,95.0
17655,2009-05-18,Manhattan,10002.0,Apartment,Entire home/apt,1.0,220,1,17,97.0
17798,2009-05-19,Manhattan,10009.0,Apartment,Entire home/apt,3.0,399,1,4,100.0
17930,2009-05-19,Brooklyn,11218.0,Apartment,Entire home/apt,3.0,199,1,1,100.0
17985,2009-05-20,Manhattan,10002.0,Apartment,Entire home/apt,2.0,130,1,38,86.0
18174,2009-05-21,Manhattan,10003.0,Apartment,Entire home/apt,3.0,160,1,55,92.0
18374,2009-05-22,Manhattan,10003.0,Apartment,Entire home/apt,1.0,135,1,89,96.0
18611,2009-05-24,Manhattan,10003.0,Apartment,Entire home/apt,2.0,350,1,5,96.0
18729,2009-05-25,Brooklyn,11215.0,Condominium,Entire home/apt,2.0,375,1,9,98.0
19031,2009-05-27,Manhattan,10012.0,Apartment,Entire home/apt,1.0,225,1,14,81.0
19852,2009-06-02,Manhattan,10035.0,Apartment,Entire home/apt,1.0,165,1,8,97.0
19969,2009-06-03,Manhattan,10013.0,Apartment,Entire home/apt,1.0,585,1,52,96.0
20149,2009-06-04,Brooklyn,11206.0,Apartment,Private room,1.0,40,1,46,96.0
20805,2009-06-09,Brooklyn,11225.0,Apartment,Private room,1.0,85,1,12,100.0
21286,2009-06-12,Manhattan,10024.0,Apartment,Entire home/apt,2.0,225,1,9,97.0
21306,2009-06-12,Brooklyn,11222.0,Apartment,Private room,1.0,110,1,11,96.0
21475,2009-06-14,Manhattan,10002.0,Apartment,Private room,1.0,125,1,55,96.0
21823,2009-06-16,Brooklyn,11221.0,Apartment,Entire home/apt,5.0,275,1,9,98.0
21904,2009-06-16,Manhattan,10003.0,Apartment,Entire home/apt,1.0,240,1,8,93.0
22220,2009-06-18,Manhattan,10028.0,Apartment,Entire home/apt,1.0,175,1,17,91.0
22486,2009-06-20,Brooklyn,11211.0,Loft,Entire home/apt,4.0,130,1,6,76.0
23048,2009-06-24,Brooklyn,11215.0,Apartment,Entire home/apt,1.0,139,1,18,94.0
23193,2009-06-25,Brooklyn,11221.0,House,Private room,1.0,35,1,2,100.0
23276,2009-06-25,Brooklyn,11215.0,Apartment,Entire home/apt,2.0,260,1,3,100.0
23435,2009-06-26,Manhattan,10281.0,Apartment,Entire home/apt,1.0,185,1,48,96.0
23577,2009-06-28,Brooklyn,11249.0,Loft,Entire home/apt,1.0,175,1,16,99.0
23727,2009-06-29,Brooklyn,11238.0,Apartment,Entire home/apt,2.0,150,1,6,97.0
23843,2009-06-30,Manhattan,10002.0,Apartment,Entire home/apt,1.0,175,1,15,96.0
23856,2009-06-30,Brooklyn,11222.0,Apartment,Entire home/apt,1.0,150,1,2,100.0
24000,2009-07-01,Manhattan,10009.0,Apartment,Private room,1.0,133,1,80,91.0
24222,2009-07-02,Manhattan,10009.0,Apartment,Entire home/apt,4.0,375,1,9,96.0
25100,2009-07-10,Manhattan,10025.0,Apartment,Private room,1.0,180,1,4,90.0
25183,2009-07-10,Brooklyn,11216.0,Apartment,Entire home/apt,4.0,150,1,23,91.0
25533,2009-07-13,Manhattan,10003.0,Apartment,Private room,1.0,99,1,14,72.0
25551,2009-07-14,Brooklyn,11211.0,Apartment,Entire home/apt,1.0,199,1,20,97.0
25632,2009-07-14,Brooklyn,11222.0,Apartment,Entire home/apt,2.0,300,1,1,100.0
26210,2009-07-19,Manhattan,10039.0,Apartment,Private room,1.0,85,1,69,94.0
26333,2009-07-20,Manhattan,10018.0,Apartment,Entire home/apt,2.0,375,1,6,96.0
26640,2009-07-21,Manhattan,10024.0,Apartment,Entire home/apt,2.0,289,1,26,91.0
27104,2009-07-23,Manhattan,10030.0,Apartment,Private room,1.0,60,1,73,93.0
27848,2009-07-27,Queens,11434.0,House,Private room,2.0,55,1,47,88.0
28217,2009-07-28,Brooklyn,11222.0,Apartment,Private room,1.0,55,1,2,100.0
28267,2009-07-28,Brooklyn,11249.0,Apartment,Entire home/apt,3.0,195,1,23,95.0
